Group,Title,Image,Description,Address,Latitude,Longitude,Found Address,Match Quality,Source
a,Trinity College,,,"300 Summit St, Hartford CT 06106",41.745167,-72.69263,"300 SUMMIT ST, HARTFORD, CT, 06106",Exact,US Census
d,Atonement Catholic Church,,,15415 Red Robin Road San Antonio Texas 78255,29.58846864,-98.64465901,,,
d,Boerne OSBs,,,216 W. Highland Dr Boerne Texas 78006,29.7853062,-98.7333261,,,
d,Bridgidine Sisters ,,,5118 Loma Linda Dr San Antonio Texas 78201,29.47902937,-98.54582628,,,
d,CC Cathedral,,,"505 N. Upper Broadway Corpus Christi, Texas 78401",27.79512887,-97.39675099,,,
d,Central Catholic HS,,,1403 N. Saint Mary's Street San Antonio Texas 78215,29.43725177,-98.4862641,,,
d,El Paso Alumni,,,Pres. Mengler presented @ restaurant El Paso Texas ,31.772543,-106.460953,,,
d,Holy Rosary Catholic Church,,,159 Camino Santa Maria San Antonio Texas 78228,29.45017551,-98.56145945,,,
d,Holy Trinity Catholic Church,,,20523 Huebner Road San Antonio Texas 78258,29.62725534,-98.49076495,,,
d,Houston Alumni ,,,"Holy Rosary Church,  3617 Milam St. Houston Texas 77002",29.73976481,-95.380844,,,
d,Kenedy Foundation,,,555 N. Carancahua Corpus Christi  Texas 78401-0851,27.79532167,-97.3977205,,,
d,Knights Council #4140,,,"6909 Camp Bullis Rd, San Antonio Texas 78256",29.61541282,-98.61891273,,,
d,Laredo Alumni,,,A restaruant in Laredo Laredo Texas ,27.506748,-99.502914,,,
d,Laurel Heights United Methodist Church,,,227 Woodlawn San Antonio  Texas 78212,29.4533174,-98.4965498,,,
d,Maggiano’s,,,17603 I-10 San Antonio  Texas 78257,29.60861484,-98.60141662,,,
d,Maggiano’s,,,2 the Blvd St. Louis Missouri 63117,38.63555199,-90.34475269,,,
d,Maggiano’s ,,,6001 W. Park Blvd Plano Texas 75093,33.02856044,-96.83029145,,,
d,Mengler Residence,,,203 Lariate Drive San Antonio  Texas 78232,29.602101,-98.504759,,,
d,MTG Bsp Sis,,,804 Ford St. San Angelo Texas 76905,31.45175779,-100.400482,,,
d,OLLU CDP Assembly,""".\images\ollu_sanantoniotx.jpg""",,411 SW 24th Street San Antonio Texas 78207,29.4271857,-98.5440338,,,
d,Our Lady of Grace Catholic Church,,,223 E Summit Ave San Antonio Texas 78212,29.45922847,-98.49100587,,,
d,Private Showing,,,21635 Cielo Ridge Dr. San Antonio Texas 78255,29.63994501,-98.6502261,,,
d,Rio Grand Valley Alums,,,A restaurant in McAllen McAllen Texas 78503,26.203407,-98.230011,,,
d,RSCJ Alums@ Marianist Archives,,,3141 Culebra Road San Antonio Texas 78228,29.44952753,-98.56256265,,,
d,Sacred Heart Parish,,,215 N. 16th Avenue Edinburg Texas 78541,26.30271105,-98.15704372,,,
d,Sam Houston State University,,,1905 University Avenue Huntsville Texas 77340,30.71344641,-95.55041249,,,
d,Sisoian’s Residence,,,15646 Robin Ridge San Antonio Texas 78248,29.59585342,-98.52249899,,,
d,St. Mary's University,""".\images\stmu_sanantoniotx.jpg""",,One Camino Santa Maria San Antonio Texas 78228,29.4532,-98.5629,,,
d,St. Anthony of Padua,,,102 Lorenz Road San Antonio Texas 78209,29.50232745,-98.46958529,,,
d,St. Augustine High School,,,8800 E. 22nd Street Tucson Arizona 85710,32.20382978,-110.8040435,,,
d,St. Dominic Catholic Church,,,8215 Reservoir Drive Houston Texas 77049,29.84393689,-95.17302943,,,
d,St. Gerard Catholic High School,,,521 S New Braunfels Ave San Antonio Texas 78203,29.84389967,-95.1730938,,,
d,St. Gregory Catholic Church,,,700 Dewhurst Road San Antonio  Texas 78213,29.49813539,-98.54420172,,,
d,St. Joseph’s High School,,,110 E. Red River Street Victoria Texas 77901,28.81384169,-97.00295652,,,
d,St. Luke’s Catholic Church,,,4603 Manitou San Antonio Texas 78228,29.48605428,-98.574881,,,
d,St. Matthew’s Catholic Church,,,10703 Wurzbach Road San Antonio Texas 78230,29.53946892,-98.55465607,,,
d,St. Meinrad Catholic Church,,,19630 4th Street St. Meinrad Indiana 47577,38.17000958,-86.81056496,,,
d,St. Patrick Catholic Church,,,8541 Mercer Lane Scottsdale Arizona 85260,33.58415699,-111.8970301,,,
d,St. Peter the Apostle Catholic Church,,,202 W. Kronkosky Street Boerne Texas 78006,29.78626917,-98.72992593,,,
d,St. Thomas More Catholic Church/School,,,6180 Utopia Road Glendale Arizona 85308,33.66222589,-112.1936062,,,
d,St. Vincent de Paul,,,4222 SW Loop 410 San Antonio  Texas 78227,29.39086737,-98.64578152,,,
d,Texas Lutheran U.,,,1000 W. Court Seguin Texas 78155,29.57335305,-97.98477889,,,
d,University of  Chaminade,,,3140 Waialae Avenue Honolulu Hawaii 96816,21.29078252,-157.8074139,,,
d,University UMC,,,5804 DeZavala San Antonio Texas 78249,29.56324289,-98.59733655,,,
d,UT Austin,,,110 Inner Campus Drive Austin Texas 78705,30.28635511,-97.73941572,,,
d,UTSA Campus Ministry,,,14523 Roadrunner Way San Antopmio Texas 78249,29.57548757,-98.62555957,,,
d,Valley Alumni,,,A restaruant in Harlingen Harlingen Texas ,26.20109815,-97.6964626,,,
d,Vianney High School,,,1311 Kirkwood Road St. Louis Missouri 63122,38.56147656,-90.41073586,,,
d,Woodland Baptist Church,,,15315 Huebner Road San Antonio Texas 78248,29.58398718,-98.53729919,,,
d,Dr. Tazzer Residence,,,1323 Thrush Ridge San Antonio Texas 78248,29.5939853,-98.52462233,,,
